TIME,P_Opt,P_Opt_Silh,P_3,P_3_Silh
Belgium,C1,0.5085414718272094,C2,0.6724234810560642
Bulgaria,C1,0.749853988668827,C2,0.45318346008071325
Czech Republic,C1,0.6365845257499689,C2,0.6231766024888294
Denmark,C1,0.7859851189892486,C2,0.18253118476785893
Germany,C1,0.825619063550394,C3,0.7410067976143381
Estonia,C1,0.6117136634072751,C2,0.6648951383985653
Ireland,C2,0.4272116476222485,C1,0.23469489710057376
Greece,C1,0.8120212747035336,C3,0.7890579490145955
Spain,C1,0.8066455554967197,C3,0.7997249450611392
France,C1,0.7962056118384446,C3,0.7864077172786502
Croatia,C1,0.8224631678856433,C3,0.5432354735038831
Italy,C1,0.7884439860588086,C3,0.7733223030892296
Cyprus,C1,0.5590240740853708,C2,0.602905091699045
Latvia,C1,0.7440005063572326,C2,0.5029939615974931
Lithuania,C1,0.635118543241582,C2,0.6646432324995409
Luxembourg,C2,0.4669620643044369,C1,0.3897416715109236
Hungary,C1,0.48981195172503816,C2,0.6514285429312979
Malta,C2,0.29277859965379305,C1,0.019340010845627153
Netherlands,C1,0.4655704818135339,C2,0.659904772657643
Austria,C1,0.8022703328041519,C2,-0.07920544839303968
Poland,C1,0.8112752916037328,C2,-0.3158623009230823
Portugal,C1,0.8273499204385257,C3,0.7475014490937896
Romania,C1,0.8214984254742946,C3,0.7566031674271798
Slovenia,C1,0.5291328838811539,C2,0.6746783910265067
Slovakia,C1,0.29159142051933445,C2,0.5907781358685513
Finland,C1,0.8215425784069944,C3,0.7934351201577801
Sweden,C1,0.8249242085852214,C3,0.6071717070605135
Iceland,C1,0.809835761246702,C3,0.585512285026223
Norway,C1,0.8197790361912886,C3,0.7554745909645163
Switzerland,C1,0.7135194018137611,C2,0.5852095004705345
United Kingdom,C1,0.7788243234686673,C3,0.7460265447357817
Bosnia and Herzegovina,C1,0.8207036093289247,C3,0.7865133443458109
Montenegro,C1,0.8210865190275088,C3,0.7264046918001008
North Macedonia,C1,0.7788530391169945,C2,0.09557216883720297
Albania,C1,0.788581822606615,C3,0.7712110032500283
Serbia,C1,0.8196891160370122,C3,0.5179857916575201
Turkey,C1,0.7790464954755989,C3,0.7465170285379277
Kosovo,C1,0.7738245529165706,C3,0.7351450018388486
