TIME,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belgium,78.9,79.4,77.9,79.6,83.4,83.5,83,79.2,89.6,95.3,84.2
Bulgaria,64.6,64.6,63.8,63.9,67,65.8,64.2,56.4,61.8,70,61.9
Czech Republic,75.6,81.4,80,78.1,77.7,75.6,72.1,67.8,70.6,72.4,69
Denmark,54.9,54.8,55.8,53.7,55.3,57,59,55,58.8,70.5,68
Germany,41.7,41.7,42.6,41.6,42.3,42.6,42.4,39.2,42.7,45.8,43.4
Estonia,83.5,80.6,76,75.5,74.3,72.9,72,68.2,79.5,86.7,77.9
Ireland,104.8,110.3,122.9,124.2,124.8,123,127.3,135.5,133.1,136.7,135.1
Greece,30.3,32.5,32.2,31.2,34.8,38.6,39.6,31.5,40.3,49,43.7
Spain,32.8,33.2,33.3,33.6,34.9,34.9,34.7,30.5,33.8,39.8,38.1
France,30.6,30.7,31.7,31.5,32.3,32.9,32.9,28.6,31.3,36.5,34.3
Croatia,39.5,42.4,45.4,46.6,48.9,49.1,50.5,41.3,49.8,59.5,52.9
Italy,28.2,28.6,29.1,28.8,30.1,30.8,30.9,28.7,31.2,35.1,33.7
Cyprus,61.3,66,70,70.5,73.8,74.5,75.8,79.6,90.8,102.2,97
Latvia,62.6,63.6,62.6,61.9,64.1,63.9,62.5,62.7,66.8,77.5,67
Lithuania,79,72.6,68.6,67.7,73.6,74.5,76.8,72.4,79.6,86.8,76.5
Luxembourg,176.4,182.8,191.8,191.1,192.7,197.5,206.4,203.1,213.2,211.3,212.5
Hungary,85.4,87,87.4,86.1,85.7,83.4,81.1,78.1,79.4,89.5,81.2
Malta,97.7,96.9,108.7,113.2,116.6,123.3,124.5,136,118.6,128.4,122.9
Netherlands,80.4,81.4,84,80.9,85.2,87.1,85.3,81.2,86.5,96.4,88.5
Austria,53.9,53.9,53.4,52.7,54.3,55.7,55.9,51.7,56,62,59.5
Poland,45.8,46.2,47.2,49.9,51.7,52.2,52.6,52.4,57,62.4,58.1
Portugal,39.6,40.2,40.7,40.4,42.9,43.7,43.7,37.3,41.5,49.5,47.3
Romania,40.2,41.5,41.3,42.4,42.3,41.5,40.1,36.8,40.5,43.4,39.2
Slovenia,75,76.7,77.7,78.4,83.9,85.6,84.4,78.3,84,94,83.3
Slovakia,92.9,90.4,90.7,92.3,94,94.9,91.8,84.3,90.7,99,91.9
Finland,38.3,36.8,35.8,35.3,38.2,39.1,40.6,36.2,39.9,46.3,42.8
Sweden,42.7,43.5,43.7,42.9,43.9,45.9,48.2,44.3,47.3,53.9,55.2
Iceland,53.2,51.5,51.7,47.5,45.7,46,43.7,33.3,37.3,45.7,43.6
Norway,39.9,39.7,38.6,35.9,36.7,38.2,36.6,32.2,43,55.5,47.2
Switzerland,72.1,65.3,63.8,66.8,66.3,67.5,67,64.1,71.1,76.1,73.3
United Kingdom,29.9,28.2,27.3,28.2,30.1,30.9,31.1,29.6,29.3,29,28.7
Bosnia and Herzegovina,33.7,34,35.1,35.9,40.3,42,40,34.6,42.8,48.3,44.1
Montenegro,41.3,40.1,42.1,40.6,41.1,42.9,43.8,26,42.8,51.5,50
North Macedonia,43.4,47.7,48.7,50.7,55.1,60.4,62.4,57.8,65.4,72.8,67.8
Albania,28.9,28.2,27.3,29,31.6,31.6,30.9,22.5,31.1,37.2,38.7
Serbia,38.2,40.3,43.4,46.5,48.1,48.7,49,46.1,52.3,60.7,55.1
Turkey,23.8,25.2,24.5,23.1,26,31.2,33.1,29.1,35.7,38.6,31.9
Kosovo,23,23.5,22.5,23.8,27.3,29.1,29.3,21.7,33.4,38.6,39.6
